id,created_at,text
839913082394722304,2017-03-09 18:57:38,"b'The GOP have convinced people who never agree on ANYTHING \xe2\x80\x93 docs, hospitals, economists, even insurance companies: #Trumpcare is a disaster.'"
839662091829186562,2017-03-09 02:20:17,b'Anyone who cares about access to mental health care benefits under the GOP health plan needs to watch\xe2\x80\xa6 https://t.co/9a1DrBDEfS'
839606721358200833,2017-03-08 22:40:16,b'Heading to the Senate floor now to talk about GOP efforts to rescind accountability regs of the ESSA edu bill: https://t.co/phmtybiYmm'
839584308025253890,2017-03-08 21:11:12,"b'I promise you this: We won\xe2\x80\x99t stop fighting for women, families, &amp; working people \xe2\x80\x93 on #InternationalWomensDay or any other day.'"
839584140181843969,2017-03-08 21:10:32,b'No day off for us today. Can you imagine what bills the @SenateGOP would try to ram through if 16 @SenateDems women\xe2\x80\xa6 https://t.co/LbXHXbYkv4'
839583798572511240,2017-03-08 21:09:10,b'I stand in solidarity with women across the country joining the #InternationalWomensDay #ADayWithoutAWoman strike today.'
839211262428995585,2017-03-07 20:28:51,b'@ByronTau https://t.co/SEqBITqlY8'
838871271593107460,2017-03-06 21:57:51,b'I\xe2\x80\x99m heading to the Senate floor now to speak out against GOP\xe2\x80\x99s plan to repeal the Fair Pay &amp; Safe Workplaces order: https://t.co/dzZQbTR3Rg'
838869033436991492,2017-03-06 21:48:57,"b'There\xe2\x80\x99s a lot we could be doing to help US workers. Instead, the GOP wants to make it easier for giant gov contractors to hurt workers.'"
838846215429193733,2017-03-06 20:18:17,b'Today\xe2\x80\x99s debate on the Fair Pay &amp; Safe Workplaces order is about who Congress works for. I\xe2\x80\x99m here to fight for workers \xe2\x80\x93 &amp; I\xe2\x80\x99ll be voting no.'
838845729217077248,2017-03-06 20:16:21,"b'Instead of helping workers, the GOP will vote today to make it easier for companies that hurt workers to get massive gov contracts.'"
838845443505336321,2017-03-06 20:15:13,b'My office released a report today that shows 2/3 of the top contractors have been caught breaking labor laws. https://t.co/AOed3xBPYa'
838845110733373444,2017-03-06 20:13:54,b'The US gov pays billions to federal contractors \xe2\x80\x93 but some of the biggest corporations underpay workers &amp; put their health/safety at risk.'
838813447831883780,2017-03-06 18:08:05,b'Read the article @ChuckGrassley &amp; I wrote about our over-the-counter hearing aid bill in @JAMAInternalMed: https://t.co/WXRhQlTiHz'
838813133401702402,2017-03-06 18:06:50,"b'.@ChuckGrassley &amp; I have a bipartisan bill to let some hearing aids be sold over-the-counter, saving families money &amp; reducing regulations.'"
838798230351667202,2017-03-06 17:07:36,b'Met this morning with the terrific staff of Lynn Community Health Center. Their patients need the ACA for insurance\xe2\x80\xa6 https://t.co/T9mggq8VKv'
