id,created_at,retweet_count,text
840223225791496194,2017-03-10 15:30:02,379,"b""If your plan puts working families at risk of losing their health coverage, it's bad. #Trumpcare"""
840200574121447424,2017-03-10 14:00:01,100,"b""It's clear: Americans deserve #paidleave\xe2\x80\x94and most Americans support it. https://t.co/5yCjYk6rGy"""
839974079599792128,2017-03-09 23:00:01,252,b'The failure of the chain of command to hold senior leadership accountable is unacceptable. https://t.co/De9o9sMsBb'
839937197943947264,2017-03-09 20:33:27,634,"b""Access to health care is a human right. Now that millions more Americans finally have it, it'd be wrong of us to take it away."""
839915658615881728,2017-03-09 19:07:52,245,"b""A new low. These threats are disgusting and have to stop. It's time to speak out and redouble our efforts. https://t.co/qERg0EzDe0"""
839900567745007616,2017-03-09 18:07:54,66,"b""It's time for all of us to own our ambition. https://t.co/dDSccVXtkv"""
839859920275181568,2017-03-09 15:26:23,59,b'The climate that fosters this behavior undermines good order and discipline\xe2\x80\x94and our military readiness.'
839859624731885574,2017-03-09 15:25:13,293,"b""I'm calling for a hearing to get to the bottom of this corrosive and abusive behavior toward female servicemembers. https://t.co/xyJRniQQVu"""
839615895727140864,2017-03-08 23:16:43,4422,"b""It's Kirsten. https://t.co/wk07mjadbg"""
839596646233165825,2017-03-08 22:00:14,209,b'And I\xe2\x80\x99ll keep fighting for it in the Senate every single day. https://t.co/POsPiXyAFX'
839577002558509056,2017-03-08 20:42:10,367,"b""Proud to celebrate the powerful women who've stood up, spoken out, and shaped our history on this\xe2\x80\xa6 https://t.co/QTHtBYHvFi"""
839190660527837185,2017-03-07 19:06:59,432,"b""I have a few thoughts on @POTUS's plan to replace the Affordable Care Act. https://t.co/JwWB5hO2gk"""
839134271868702721,2017-03-07 15:22:55,187,b'This delay will only hurt trans students who continue to face discrimination. https://t.co/q5Prws34KB'
838893240975777792,2017-03-06 23:25:09,320,"b'Rest assured that I, and millions of women and men across the country, will stand up for the healthcare we deserve.'"
838892869075226624,2017-03-06 23:23:40,351,b'Planned Parenthood will never waver in their commitment to providing a full range of reproductive health services for women and men. Never.'
