id,created_at,text
842452264824401920,2017-03-16 19:07:26,"b'RT @SenBookerOffice: By gutting Meals on Wheels, the Council on Homelessness, Habitat for Humanity &amp; more, Trump\xe2\x80\x99s budget jeopardizes healt\xe2\x80\xa6'"
842452250479935488,2017-03-16 19:07:23,"b""RT @SenBookerOffice: By gutting institutions that protect workers' rights, Trump's budget makes it harder for Americans to build a better l\xe2\x80\xa6"""
842452211053420544,2017-03-16 19:07:13,"b""RT @SenBookerOffice: .@realDonaldTrump's proposed budget cuts would set our country back and make hardworking Americans suffer"""
842211803979370496,2017-03-16 03:11:56,b'@twinveganspdx My gratitude to you for your voice and encouraging words.'
842210469007958016,2017-03-16 03:06:37,b'@twinveganspdx Thank you!'
842128077916364800,2017-03-15 21:39:14,b'@DHSantoriello My staff and I continue to work on Sandy issues. Please reach out to @ghelmy on my team for any specific help.'
842124504495185923,2017-03-15 21:25:02,b'Nice meeting you too. https://t.co/TtREnVGi4f'
842124011370864644,2017-03-15 21:23:04,b'Nice to meet you too. Thanks for testifying. https://t.co/NrDDEKRqVX'
842123840792743936,2017-03-15 21:22:24,"b'Lol, thanks. I am honored and grateful that I get to represent you and NJ. https://t.co/AWIh9HEJVU'"
842123253925740544,2017-03-15 21:20:04,"b'One planet, one destiny. https://t.co/Kk4BM0U5Kc'"
842122987134427137,2017-03-15 21:19:00,"b'RT @DMiliband: Proud to stand with Syrian refugees, joining @theIRC &amp; meeting Senators @timkaine @SenatorCardin @CoryBooker  @marcorubio an\xe2\x80\xa6'"
842122923519401986,2017-03-15 21:18:45,"b""RT @JaneneHague: @CoryBooker I agree.  Ghandi said 'The greatness of a nation can judged by the way its animals are treated.'"""
842121440547725323,2017-03-15 21:12:51,"b""I'm game if Ted is. https://t.co/gLNYwJe2Nw"""
842121169943814144,2017-03-15 21:11:47,"b""I'm grateful to my team for pushing this. I realize the importance. https://t.co/jd2vVnSdso"""
842120796483006464,2017-03-15 21:10:18,"b""@sethbannon I don't know if I can do it man."""
842120185054138368,2017-03-15 21:07:52,b'@shaft1002 Hope you will check out the Legislation I introduced with Sens Sanders and Casey to do just that.'
842119737559650304,2017-03-15 21:06:05,b'RT @Defenders: Thanks @CoryBooker for highlighting that HJRes 69 would violate sound conservation management on our Nat\xe2\x80\x99l #WildlifeRefuges.\xe2\x80\xa6'
842119556596404227,2017-03-15 21:05:22,"b'I thought it was a ""tie testimonial"" that we should do more to stop the elephant ivory trade. https://t.co/zHWqADRxgH'"
842119149685989377,2017-03-15 21:03:45,"b""Sorry u don't realize wildlife drives tremendous jobs, revenue &amp; priceless benefits to all Americans. Not to mentio\xe2\x80\xa6 https://t.co/0QmWyutkwX"""
842118340466335752,2017-03-15 21:00:32,"b""RT @indivisible_nj: It's not just wrong, #Trumpcare is amoral and takes us entirely in the wrong direction. #SaveACA thank you @CoryBooker\xe2\x80\xa6"""
842118115102232576,2017-03-15 20:59:39,"b'RT @NRDCFedGov: Thank you @CoryBooker for highlighting this inhumane, scientifically indefensible bill https://t.co/pSwkTgn0gH'"
842117484413083658,2017-03-15 20:57:08,b'@NordicPhoenix Thank you for your gracious spirit.'
842117196432171011,2017-03-15 20:56:00,b'RT @SenBookerOffice: The bill that passed the House &amp; may get taken up soon in the Senate is HJ Res. 69 also known as CRA Resolution of the\xe2\x80\xa6'
842095862012628994,2017-03-15 19:31:13,b'RT @SenBookerOffice: GOP is pushing for a vote to allow people to kill wolves &amp; pups sleeping in dens &amp; hibernating bears\xe2\x80\x94this is wrong. We\xe2\x80\xa6'
842095354900283393,2017-03-15 19:29:12,"b""RT @votevets: Trump's #hiringfreeze continues to hurt Veterans. Under his leadership the VA #backlog grows. https://t.co/RYKpJM0rr6"""
